day_avg_dwell,day_of_week,lat,long,off,on,route,stop_name,total,trip_avg_dwell,unique_stop_number
5.8,WEEKDAY,39.952758,-82.996359,2,4,4,E LIVINGSTON AVE & S 3RD,6,0.1,4211
6.3,WEEKDAY,39.952754,-82.996398,5,2,8,E LIVINGSTON AVE & S 3RD,7,0.2,4211
9.2,WEEKDAY,39.981347,-83.149828,7,1,5,RENNER RD & HILLIARD ROM,8,0.5,4214
0.4,WEEKDAY,39.986687,-83.109999,0,1,5,TRABUE RD & RASPBERRY RU,1,0.0,4217
12.5,WEEKDAY,39.992294,-83.014106,7,18,8,NEIL AVE & W 8TH AVE,25,0.2,4227
23.9,WEEKDAY,39.980211,-82.913024,16,43,7,STELZER RD & N JAMES RD,59,0.4,4349
20.4,WEEKDAY,39.980323,-82.913166,88,21,23,STELZER RD & N JAMES RD,109,0.3,4349
0.7,WEEKDAY,40.014418,-83.022438,3,0,1,OLENTANGY RIVER RD & BUR,3,0.0,4350
2.4,WEEKDAY,39.974605,-82.913406,2,5,23,N JAMES RD & ANAWANDA AV,7,0.0,4351
29.4,WEEKDAY,39.976575,-82.873853,78,29,24,N HAMILTON RD & E BROAD,107,0.8,4352
6.8,WEEKDAY,39.941693,-82.878238,9,8,24,S HAMILTON RD & DUNDEE A,18,0.2,4330
0.3,WEEKDAY,39.903702,-82.881764,0,0,24,S HAMILTON RD & HARBOR B,1,0.0,4332
0.7,WEEKDAY,39.903987,-82.88159,0,1,24,S HAMILTON RD & HARBOR B,1,0.1,4335
2.9,WEEKDAY,39.936845,-82.89766,5,7,23,COURTRIGHT RD & E DESHLE,12,0.0,4343
2.8,WEEKDAY,39.975186,-82.913244,9,4,23,N JAMES RD & ANAWANDA AV,14,0.0,4346
0.2,WEEKDAY,39.953018,-83.107204,1,0,21,3953 W BROAD ST,1,0.0,4284
56.5,WEEKDAY,39.95374,-83.097557,37,92,10,W BROAD ST & BROADLAWN A,129,0.6,4286
31.4,WEEKDAY,39.953913,-83.094111,15,66,10,W BROAD ST & S WILSON RD,81,0.4,4287
27.8,WEEKDAY,39.954212,-83.088038,9,51,10,W BROAD ST & S SOUTHAMPT,60,0.3,4288
0.7,WEEKDAY,39.93374,-82.947038,1,0,5,FREBIS AVE & FREBIS LN,2,0.0,4289
657.6,WEEKDAY,39.991284,-83.065884,33,32,5,1ST COMMUNITY VILLAGE,66,11.7,4303
